;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; 9M-AFD ;Airbus A320-214; Y180 ; 16 Feb 2006 ; Parked, lsd, Allstar cs ; 16.1 Years ;;;
; 9M-AFE ;Airbus A320-214; Y180 ; 2 Mar 2006 ;lsd ; 16.1 Years ;;;
; 9M-AFF ;Airbus A320-214; Y180 ; 25 Apr 2006 ;lsd ; 15.9 Years ;;;
; 9M-AFV ;Airbus A320-216; Y180 ; 3 Jul 2007 ; Parked, lsd, Legend Heroes Park cs ; 14.7 Years ;;;
; 9M-AFW ;Airbus A320-216; Y180 ; 29 Feb 2008 ; Parked, lsd, AirAsia Mobile App cs ; 14.1 Years ;;;
; 9M-AGC ;Airbus A320-216(WL); Y180 ; 14 Mar 2017 ; Parked, lsd ; 5 Years ;;;
; 9M-AGM ;Airbus A320-216(WL); Y180 ; 30 Nov 2017 ; Parked, lsd ; 4.3 Years ;;;
; 9M-AGP ;Airbus A320-216(WL); Y180 ; 4 Dec 2017 ; Parked, lsd ; 4.3 Years ;;;
; 9M-AGT ;Airbus A320-216(WL); Y180 ; 28 Dec 2017 ;lsd ; 4.2 Years ;;;
; 9M-AGU ;Airbus A320-216(WL); Y180 ; 22 Dec 2017 ;lsd ; 4.2 Years ;;;
; 9M-AGY ;Airbus A320-216(WL); Y186 ; 29 Jun 2018 ;lsd ; 3.7 Years ;;;
; 9M-AGZ ;Airbus A320-216(WL); Y186 ; 20 Jul 2018 ;lsd ; 3.7 Years ;;;
; 9M-AHE ;Airbus A320-216; Y180 ; 4 Dec 2007 ;lsd, Jannine Weigel cs ; 14.3 Years ;;;
; 9M-AHJ ;Airbus A320-216; Y180 ; 7 May 2008 ; Parked, lsd ; 13.9 Years ;;;
; 9M-AHL ;Airbus A320-216; Y180 ; 17 Jun 2008 ; Parked, lsd, Honghe Nativeland cs ; 13.8 Years ;;;
; 9M-AHR ;Airbus A320-216; Y180 ; 21 Nov 2008 ; Parked, lsd, Ejen Ali - MATA Spy Jet cs ; 13.3 Years ;;;
; 9M-AHS ;Airbus A320-216; Y180 ; 9 Feb 2009 ; Parked, lsd ; 13.1 Years ;;;
; 9M-AHT ;Airbus A320-216; Y180 ; 17 Aug 2009 ; Parked, lsd, Thank you Sabah cs ; 12.6 Years ;;;
; 9M-AHV ;Airbus A320-214; Y180 ; 28 Oct 2009 ; Parked, lsd ; 12.4 Years ;;;
; 9M-AHX ;Airbus A320-214; Y180 ; 17 May 2010 ; Parked, lsd, Connecting ASEAN cs ; 11.9 Years ;;;
; 9M-AHY ;Airbus A320-214; Preighter ; 18 May 2010 ; Parked, lsd, BIG Duty Free cs ; 11.9 Years ;;;
; 9M-AHZ ;Airbus A320-216; Y180 ; 13 Jul 2010 ;lsd ; 11.7 Years ;;;
; 9M-AJA ;Airbus A320-216(WL); Y180 ; 16 Dec 2013 ; Parked, lsd, Longjack Orang Kampung cs ; 8.3 Years ;;;
; 9M-AJC ;Airbus A320-216(WL); Y180 ; 20 Dec 2013 ; Parked, lsd ; 8.2 Years ;;;
; 9M-AJD ;Airbus A320-216(WL); Y180 ; 22 Nov 2013 ; Parked, lsd, Sarawak cs ; 8.3 Years ;;;
; 9M-AJE ;Airbus A320-216(WL); Y180 ; 20 Dec 2013 ; Parked, lsd, Universiti Teknologi Malaysia (UTM) cs ; 8.2 Years ;;;
; 9M-AJG ;Airbus A320-214(WL); Y180 ; 2 Apr 2014 ; Parked, lsd ; 8 Years ;;;
; 9M-AJH ;Airbus A320-216(WL); Y180 ; 9 Apr 2014 ; Parked, lsd ; 7.9 Years ;;;
; 9M-AJI ;Airbus A320-216(WL); Y180 ; 17 Apr 2014 ; Parked, lsd ; 7.9 Years ;;;
; 9M-AJJ ;Airbus A320-216(WL); Y180 ; 6 May 2014 ; Parked, lsd ; 7.9 Years ;;;
; 9M-AJK ;Airbus A320-216(WL); Y180 ; 12 May 2014 ; Parked, lsd ; 7.9 Years ;;;
; 9M-AJN ;Airbus A320-216(WL); Y180 ; 23 Jun 2014 ; Parked, lsd ; 7.7 Years ;;;
; 9M-AJP ;Airbus A320-216(WL); Y180 ; 2 Jul 2014 ; Parked, lsd, I ❤ Kelantan cs ; 7.7 Years ;;;
; 9M-AJS ;Airbus A320-216; Y180 ; 9 Jan 2015 ; Parked, lsd, Let’s Fly to Terengganu cs ; 10.2 Years ;;;
; 9M-AJT ;Airbus A320-214(WL); Y180 ; 30 Oct 2014 ; Parked, lsd ; 7.5 Years ;;;
; 9M-AJW ;Airbus A320-216; Y180 ; 23 Sep 2015 ; Parked, lsd, Sustainable Asean Tourism cs ; 13.5 Years ;;;
; 9M-AJX ;Airbus A320-216; Y180 ; 14 Dec 2015 ;lsd ; 11.4 Years ;;;
; 9M-AJY ;Airbus A320-216; Y180 ; 20 Apr 2016 ;lsd ; 9.8 Years ;;;
; 9M-AJZ ;Airbus A320-216(WL); Y180 ; 24 May 2016 ;lsd ; 5.8 Years ;;;
; 9M-AQA ;Airbus A320-216; Y180 ; 27 Sep 2010 ; Parked, lsd ; 11.5 Years ;;;
; 9M-AQB ;Airbus A320-216; Y180 ; 28 Oct 2010 ; Parked, lsd, General Electric cs ; 11.4 Years ;;;
; 9M-AQC ;Airbus A320-216; Y180 ; 4 Aug 2011 ; Parked, lsd, BIG Duty Free cs ; 10.6 Years ;;;
; 9M-AQD ;Airbus A320-216; Y180 ; 28 Oct 2011 ; Parked, lsd, Universiti Putra Malaysia cs ; 10.4 Years ;;;
; 9M-AQE ;Airbus A320-216; Y180 ; 25 Oct 2011 ; Parked, lsd ; 11.1 Years ;;;
; 9M-AQF ;Airbus A320-216; Y180 ; Nov 2011 ; Parked, lsd, We are all champions - 10 Years running cs ; 11.1 Years ;;;
; 9M-AQG ;Airbus A320-216; Y180 ; 10 Dec 2011 ; Parked, lsd ; 11.4 Years ;;;
; 9M-AQH ;Airbus A320-216; Y180 ; 19 Dec 2011 ;lsd, 100th Awesome Plane cs ; 10.2 Years ;;;
; 9M-AQI ;Airbus A320-216; Y180 ; 5 Jan 2012 ; Parked, lsd, AirAsia Foundation cs ; 11.3 Years ;;;
; 9M-AQM ;Airbus A320-216; Y180 ; 24 May 2012 ; Parked, lsd, De'Xandra cs ; 9.8 Years ;;;
; 9M-AQN ;Airbus A320-216; Y180 ; 17 Sep 2012 ; Parked, lsd ; 9.5 Years ;;;
; 9M-AQO ;Airbus A320-216; Y180 ; 9 Nov 2012 ; Parked, lsd ; 9.4 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; 9M-AQP ;Airbus A320-216; Y180 ; 13 Dec 2012 ; Parked, lsd ; 9.2 Years ;;;
; 9M-AQQ ;Airbus A320-216(WL); Y180 ; 21 Dec 2012 ; Parked, lsd ; 9.2 Years ;;;
; 9M-AQS ;Airbus A320-216; Y180 ; 21 Dec 2012 ; Parked, lsd ; 9.2 Years ;;;
; 9M-AQZ ;Airbus A320-216(WL); Y180 ; 10 Dec 2013 ;lsd, Save our Malayan Tiger cs ; 8.3 Years ;;;
; 9M-RAA ;Airbus A320-216(WL); Y186 ; 25 May 2018 ; Parked, lsd ; 3.9 Years ;;;
; 9M-RAC ;Airbus A320-216(WL); Y186 ; 1 Aug 2018 ;lsd ; 3.6 Years ;;;
; 9M-RAD ;Airbus A320-216(WL); Y186 ; 6 Aug 2018 ;lsd ; 3.6 Years ;;;
; 9M-RAE ;Airbus A320-216(WL); Y186 ; 4 Sep 2018 ;lsd ; 3.5 Years ;;;
; 9M-RAG ;Airbus A320-216(WL); Y186 ; 16 Oct 2018 ;lsd ; 3.4 Years ;;;
; 9M-RAI ;Airbus A320-216(WL); Y186 ; 4 Dec 2018 ;lsd ; 3.3 Years ;;;
; 9M-RAN ;Airbus A320-216(WL); Y186 ; 22 May 2019 ;lsd ; 2.8 Years ;;;
; 9M-RAO ;Airbus A320-216(WL); Y186 ; 4 Apr 2019 ;lsd ; 2.9 Years ;;;
; 9M-RAT ;Airbus A320-216(WL); Y186 ; 29 Aug 2019 ;lsd ; 2.6 Years ;;;
; 9M-RAU ;Airbus A320-216(WL); Y180 ; 28 Jan 2021 ; Parked, lsd ; 6.1 Years ;;;
; 9M-RAV ;Airbus A320-216(WL); Y186 ; 28 Oct 2021 ;lsd ; 3.1 Years ;;;
; 9M-RCA ;Airbus A320-216(WL); Y180 ; Jul 2021 ; Parked, lsd ; 8.8 Years ;;;
; 9M-RCB ;Airbus A320-214; Y180 ; 2021 ; Parked, lsd ; 10.8 Years ;;;
; 9M-RCH ;Airbus A320-216; Y180 ; 16 Sep 2021 ;lsd ; 13.3 Years ;;;
; 9M-AGA ;Airbus A320-251N; Y186 ; 28 Sep 2016 ;lsd ; 5.5 Years ;;;
; 9M-AGB ;Airbus A320-251N; Y186 ; 2 Nov 2016 ; Parked, lsd ; 5.3 Years ;;;
; 9M-AGD ;Airbus A320-251N; Y186 ; 14 Jun 2017 ; Parked, lsd ; 4.7 Years ;;;
; 9M-AGE ;Airbus A320-251N; Y186 ; 2 Aug 2017 ; Parked, lsd ; 4.7 Years ;;;
; 9M-AGF ;Airbus A320-251N; Y186 ; 31 Jul 2017 ; Parked, lsd ; 4.7 Years ;;;
; 9M-AGG ;Airbus A320-251N; Y186 ; 11 Aug 2017 ; Parked, lsd ; 4.6 Years ;;;
; 9M-AGH ;Airbus A320-251N; Y186 ; 15 Sep 2017 ; Parked, lsd ; 4.5 Years ;;;
; 9M-AGI ;Airbus A320-251N; Y186 ; 8 Dec 2017 ;lsd ; 4.3 Years ;;;
; 9M-AGJ ;Airbus A320-251N; Y186 ; 30 Nov 2017 ; Parked, lsd ; 4.3 Years ;;;
; 9M-AGK ;Airbus A320-251N; Y186 ; 25 Oct 2017 ; Parked, lsd ; 4.4 Years ;;;
; 9M-AGL ;Airbus A320-251N; Y186 ; 21 Nov 2017 ; Parked, lsd ; 4.3 Years ;;;
; 9M-AGN ;Airbus A320-251N; Y186 ; 21 Dec 2017 ; Parked, lsd ; 4.2 Years ;;;
; 9M-AGO ;Airbus A320-251N; Y186 ; 1 Dec 2017 ; Parked, lsd ; 6.4 Years ;;;
; 9M-AGQ ;Airbus A320-251N; Y186 ; 29 Dec 2017 ; Parked, lsd ; 4.2 Years ;;;
; 9M-AGR ;Airbus A320-251N; Y186 ; 1 Feb 2018 ; Parked, lsd ; 4.1 Years ;;;
; 9M-AGS ;Airbus A320-251N; Y186 ; 29 Dec 2017 ;lsd ; 6.9 Years ;;;
; 9M-AGV ;Airbus A320-251N; Y186 ; 13 Feb 2018 ; Parked, lsd ; 4.1 Years ;;;
; 9M-AGW ;Airbus A320-251N; Y186 ; 2 Mar 2018 ; Parked, lsd ; 4 Years ;;;
; 9M-AGX ;Airbus A320-251N; Y186 ; 24 Apr 2018 ; Parked, lsd ; 3.9 Years ;;;
; 9M-NEO ;Airbus A320-251N; Y186 ; 7 Sep 2016 ; Parked, lsd, A320neo cs ; 5.5 Years ;;;
; 9M-RAB ;Airbus A320-251N; Y186 ; 28 Jun 2018 ; Parked, lsd ; 3.7 Years ;;;
; 9M-RAH ;Airbus A320-251N; Y186 ; 30 Nov 2018 ;lsd ; 3.3 Years ;;;
; 9M-RAJ ;Airbus A320-251N; Y186 ; 27 Dec 2018 ;lsd ; 3.2 Years ;;;
; 9M-RAK ;Airbus A320-251N; Y186 ; 27 Nov 2018 ; Parked, lsd ; 3.3 Years ;;;
; 9M-RAL ;Airbus A320-251N; Y186 ; 8 Feb 2019 ;lsd ; 3.1 Years ;;;
; 9M-RAM ;Airbus A320-251N; Y186 ; 6 Mar 2019 ;lsd ; 3 Years ;;;
; 9M-RAP ;Airbus A320-251N; Y186 ; 16 Apr 2019 ;lsd ; 2.9 Years ;;;
; 9M-RAQ ;Airbus A320-251N; Y186 ; 29 May 2019 ;lsd ; 2.8 Years ;;;
; 9M-RAR ;Airbus A320-251N; Y186 ; 21 Jun 2019 ;lsd, "Visit Truly Asia Malaysia 2020" sticker ; 2.7 Years ;;;
; 9M-VAA ;Airbus A321-251NX; Y236 ; 19 Nov 2019 ;3,2,1 take-off cs ; 2.3 Years ;;;
; 9M-VAB ;Airbus A321-251NX; Y236 ; 13 Dec 2019 ;; 2.2 Years ;;;
; 9M-VVA ;Airbus A330-343; C12Y365 ; Nov 2021 ; Parked, lsd ; 7.1 Years ;;;
