;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N357FC ;Embraer ERJ-170SU (ERJ-170-100 SU); C9Y60 ; 27 Apr 2017 ; Parked, opf Delta Connection ; 8805 ; 18.4 Years ;;;
; N631RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 31 Jan 2017 ;opf United Express ; 631 ; 18.9 Years ;;;
; N632RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 14 Dec 2016 ;opf United Express ; 632 ; 17.5 Years ;;;
; N633RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 4 Aug 2016 ;opf United Express ; 633 ; 17.4 Years ;;;
; N634RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 31 Jan 2017 ;opf United Express ; 634 ; 17.4 Years ;;;
; N635RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 31 Jan 2017 ;opf United Express ; 635 ; 17.4 Years ;;;
; N636RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 31 Jan 2017 ;opf United Express ; 636 ; 17.5 Years ;;;
; N637RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 5 May 2016 ;opf United Express ; 637 ; 17.5 Years ;;;
; N638RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 3 Jun 2016 ;lsd, opf United Express ; 638 ; 17.5 Years ;;;
; N639RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 5 May 2016 ;lsd, opf United Express ; 639 ; 17.4 Years ;;;
; N640RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 2 Sep 2016 ;lsd, opf United Express ; 640 ; 17.4 Years ;;;
; N641RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 9 Dec 2016 ;lsd, opf United Express ; 641 ; 17.2 Years ;;;
; N642RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 30 Jun 2016 ;lsd, opf United Express ; 642 ; 17.2 Years ;;;
; N643RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 2 Jun 2016 ;opf United Express ; 643 ; 17.2 Years ;;;
; N644RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 4 Jul 2016 ;opf United Express ; 644 ; 17.2 Years ;;;
; N645RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 8 Jul 2016 ;opf United Express ; 645 ; 17.1 Years ;;;
; N646RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 8 Jun 2016 ;opf United Express ; 646 ; 17 Years ;;;
; N647RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 15 May 2016 ;opf United Express ; 647 ; 17 Years ;;;
; N648RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 5 May 2016 ;opf United Express ; 648 ; 17 Years ;;;
; N649RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 26 Mar 2016 ;opf United Express ; 649 ; 17 Years ;;;
; N650RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 5 Aug 2016 ;opf United Express ; 650 ; 17 Years ;;;
; N651RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 2 Sep 2015 ;opf United Express ; 651 ; 17 Years ;;;
; N652RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 1 Aug 2015 ;opf United Express ; 652 ; 16.9 Years ;;;
; N653RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 11 Aug 2015 ;opf United Express ; 653 ; 16.9 Years ;;;
; N654RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 9 Jun 2016 ;opf United Express ; 654 ; 16.4 Years ;;;
; N655RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 28 Apr 2016 ;opf United Express ; 655 ; 16.4 Years ;;;
; N656RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 15 Apr 2016 ;opf United Express ; 656 ; 16.3 Years ;;;
; N657RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 3 May 2016 ;opf United Express ; 657 ; 16.2 Years ;;;
; N806MD ;Embraer ERJ-170LR (ERJ-170-100 LR); C12Y54 ; 7 May 2019 ;opf American Eagle ; C06 ; 18.4 Years ;;;
; N809MD ;Embraer ERJ-170SU (ERJ-170-100 SU); C9Y60 ; 31 Jan 2017 ; Parked, opf Delta Connection ; 8809 ; 18.2 Years ;;;
; N810MD ;Embraer ERJ-170SU (ERJ-170-100 SU); C9Y60 ; 28 Jan 2017 ;lsd, opf Delta Connection ; 8810 ; 18 Years ;;;
; N815MD ;Embraer ERJ-170SU (ERJ-170-100 SU); C9Y60 ; 31 Jan 2017 ;opf Delta Connection ; 8815 ; 17.9 Years ;;;
; N818MD ;Embraer ERJ-170SU (ERJ-170-100 SU); C9Y60 ; Jan 2017 ;lsd, opf Delta Connection ; 8818 ; 17.6 Years ;;;
; N821MD ;Embraer ERJ-170LR (ERJ-170-100 LR); C12Y54 ; 4 Feb 2019 ;opf American Eagle ; C21 ; 17.5 Years ;;;
; N823MD ;Embraer ERJ-170SU (ERJ-170-100 SU); C9Y60 ; 31 Jan 2017 ;lsd, opf Delta Connection ; 8823 ; 17.5 Years ;;;
; N824MD ;Embraer ERJ-170SU (ERJ-170-100 SU); C9Y60 ; 31 Jan 2017 ;lsd, opf Delta Connection ; 8824 ; 17.5 Years ;;;
; N826MD ;Embraer ERJ-170LR (ERJ-170-100 LR); C12Y54 ; 21 Mar 2019 ;opf American Eagle ; 826 ; 17.5 Years ;;;
; N855RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 6 Apr 2016 ;opf United Express ; 855 ; 16.9 Years ;;;
; N856RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 8 Sep 2016 ;opf United Express ; 856 ; 16.8 Years ;;;
; N857RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 7 Sep 2015 ;opf United Express ; 857 ; 16.8 Years ;;;
; N858RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 7 Sep 2016 ;opf United Express ; 858 ; 16.8 Years ;;;
; N859RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 9 Apr 2016 ;opf United Express ; 859 ; 16.7 Years ;;;
; N860RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C9Y60 ; 31 Jan 2017 ;lsd, opf Delta Connection ; 8860 ; 16.7 Years ;;;
; N861RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 8 Oct 2016 ;opf United Express ; 861 ; 16.5 Years ;;;
; N862RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 2 Nov 2016 ;opf United Express ; 862 ; 16.5 Years ;;;
; N863RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 21 Mar 2016 ;opf United Express ; 863 ; 16.5 Years ;;;
; N864RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 10 May 2016 ;opf United Express ; 864 ; 16.2 Years ;;;
; N865RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 31 Jan 2017 ;opf United Express ; 865 ; 16 Years ;;;
; N867RW ;Embraer ERJ-170SU (ERJ-170-100 SU); C9Y60 ; 31 Jan 2017 ;opf Delta Connection ; 8867 ; 15.9 Years ;;;
; N868RW ;Embraer ERJ-170SU (ERJ-170-100 SU); C9Y60 ; 31 Jan 2017 ; Parked, opf Delta Connection ; 8868 ; 15.9 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N869RW ;Embraer ERJ-170SE (ERJ-170-100 SE); C12Y54 ; 31 Jan 2017 ;opf American Eagle ; C69 ; 15.8 Years ;;;
; N870RW ;Embraer ERJ-170SU (ERJ-170-100 SU); C9Y60 ; 31 Jan 2017 ;opf American Eagle ; 8870 ; 15.6 Years ;;;
; N871RW ;Embraer ERJ-170SU (ERJ-170-100 SU); C9Y60 ; 31 Jan 2017 ;opf American Eagle ; C71 ; 15.6 Years ;;;
; N872RW ;Embraer ERJ-170SU (ERJ-170-100 SU); C9Y60 ; 31 Jan 2017 ;opf American Eagle ; 8872 ; 15.5 Years ;;;
; N873RW ;Embraer ERJ-170SU (ERJ-170-100 SU); C9Y60 ; 31 Jan 2017 ; Parked, opf Delta Connection ; 8873 ; 15.5 Years ;;;
; N874RW ;Embraer ERJ-170SU (ERJ-170-100 SU); C9Y60 ; 31 Jan 2017 ; Parked, opf Delta Connection ; 8874 ; 15.4 Years ;;;
; N875RW ;Embraer ERJ-170LR (ERJ-170-100 LR); C9Y60 ; 21 Apr 2017 ; Parked, opf Delta Connection ; 8875 ; 14.5 Years ;;;
; N878RW ;Embraer ERJ-170LR (ERJ-170-100 LR); C9Y60 ; 21 Apr 2017 ;opf Delta Connection ; 8878 ; 14.5 Years ;;;
; N879RW ;Embraer ERJ-170LR (ERJ-170-100 LR); C9Y60 ; 24 Apr 2017 ;opf Delta Connection ; 8879 ; 13.8 Years ;;;
; N880RW ;Embraer ERJ-170LR (ERJ-170-100 LR); C9Y60 ; 15 May 2017 ; Parked YQG, opf Delta Connection ; 8880 ; 13.5 Years ;;;
; N882RW ;Embraer ERJ-170LR (ERJ-170-100 LR); C9Y60 ; 15 May 2017 ; Parked, opf Delta Connection ; 8882 ; 13.4 Years ;;;
; N979RP ;Embraer ERJ-170SE (ERJ-170-100 SE); C6Y64 ; 4 Oct 2016 ;opf United Express ; 979 ; 16.5 Years ;;;
; N101HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;lsd, opf American Eagle ; 101 ; 15.2 Years ;;;
; N102HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;lsd, opf American Eagle ; 102 ; 15.2 Years ;;;
; N103HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;lsd, opf American Eagle ; 103 ; 15.1 Years ;;;
; N104HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 104 ; 15 Years ;;;
; N105HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 105 ; 15 Years ;;;
; N106HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 106 ; 14.9 Years ;;;
; N107HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 107 ; 14.9 Years ;;;
; N108HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 108 ; 14.9 Years ;;;
; N109HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 109 ; 14.8 Years ;;;
; N110HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 110 ; 14.7 Years ;;;
; N111HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 111 ; 14.7 Years ;;;
; N112HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 112 ; 14.7 Years ;;;
; N113HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 113 ; 14.6 Years ;;;
; N114HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 114 ; 14.5 Years ;;;
; N115HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 115 ; 14.5 Years ;;;
; N116HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Nov 2013 ;opf American Eagle ; 116 ; 14.5 Years ;;;
; N117HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 117 ; 14.5 Years ;;;
; N118HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 118 ; 14.4 Years ;;;
; N119HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 119 ; 14.4 Years ;;;
; N120HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 120 ; 14.4 Years ;;;
; N121HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 121 ; 14.4 Years ;;;
; N122HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 122 ; 14.3 Years ;;;
; N123HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 123 ; 14.3 Years ;;;
; N124HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ; Parked, opf American Eagle ; 124 ; 14.2 Years ;;;
; N125HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 125 ; 14.2 Years ;;;
; N126HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;lsd, opf American Eagle ; 126 ; 14.1 Years ;;;
; N127HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;lsd, opf American Eagle ; 127 ; 14.1 Years ;;;
; N128HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;lsd, opf American Eagle ; 128 ; 14 Years ;;;
; N129HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;lsd, opf American Eagle ; 129 ; 14 Years ;;;
; N130HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;lsd, opf American Eagle ; 130 ; 14 Years ;;;
; N131HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 131 ; 14 Years ;;;
; N132HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ; Parked, lsd, opf American Eagle ; 132 ; 14 Years ;;;
; N133HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 133 ; 14 Years ;;;
; N134HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 134 ; 13.9 Years ;;;
; N135HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 135 ; 13.8 Years ;;;
; N136HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 136 ; 13.7 Years ;;;
; N137HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 137 ; 13.7 Years ;;;
; N138HQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 9 Dec 2013 ;opf American Eagle ; 138 ; 13.7 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N201JQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 31 Jan 2017 ;opf Delta Connection ; 8201 ; 13.7 Years ;;;
; N202JQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 31 Jan 2017 ;opf Delta Connection ; 8202 ; 13.5 Years ;;;
; N203JQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 31 Jan 2017 ;opf Delta Connection ; 8203 ; 13.5 Years ;;;
; N204JQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 31 Jan 2017 ;opf Delta Connection ; 8204 ; 13.5 Years ;;;
; N205JQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 31 Jan 2017 ; Parked, opf Delta Connection ; 8205 ; 13.5 Years ;;;
; N206JQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 31 Jan 2017 ;opf Delta Connection ; 8206 ; 13.5 Years ;;;
; N207JQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 31 Jan 2017 ;opf Delta Connection ; 8207 ; 13.4 Years ;;;
; N208JQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 31 Jan 2017 ;opf Delta Connection ; 8208 ; 13.4 Years ;;;
; N209JQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 31 Jan 2017 ;opf Delta Connection ; 8209 ; 13.4 Years ;;;
; N210JQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 31 Jan 2017 ;opf Delta Connection ; 8210 ; 13.3 Years ;;;
; N211JQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 31 Jan 2017 ;opf Delta Connection ; 8211 ; 13.3 Years ;;;
; N212JQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 31 Jan 2017 ;opf Delta Connection ; 8212 ; 13.3 Years ;;;
; N213JQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 31 Jan 2017 ;opf Delta Connection ; 8213 ; 13.3 Years ;;;
; N214JQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 31 Jan 2017 ;opf Delta Connection ; 8214 ; 13.2 Years ;;;
; N215JQ ;Embraer ERJ-175LR (ERJ-170-200 LR); C12Y64 ; 31 Jan 2017 ;opf Delta Connection ; 8215 ; 13.1 Years ;;;
